Year,start_close,end_close,high,low,return_pct,points_change,high_low_pct,high_low_points,start_low_points,start_low_pct,start_high_points,start_high_pct,start_end_pct,start_mid_pct
1995,1000.0,908.53,1001.53,822.54,-9.147000000000002,-91.47000000000003,21.760643859265205,178.99,-177.46000000000004,-17.746000000000002,1.5299999999999727,0.15299999999999728,-9.147000000000002,-12.695000000000004
1996,908.01,899.1,1203.11,775.43,-0.981266726137374,-8.909999999999968,55.1539146022207,427.67999999999995,-132.58000000000004,-14.601160780167625,295.0999999999999,32.49964207442648,-0.981266726137374,23.566921069151224
1997,939.55,1079.4,1297.1,905.2,14.884785269543945,139.85000000000014,43.29429960229782,391.89999999999986,-34.34999999999991,-3.6560055345644096,357.54999999999995,38.05545207812251,14.884785269543945,27.768612633707633
1998,1081.2,884.25,1247.15,800.1,-18.215871254162046,-196.95000000000005,55.87426571678541,447.05000000000007,-281.1,-25.99889012208657,165.95000000000005,15.348686644469112,-18.215871254162046,-15.154458009618942
1999,890.8,1480.45,1522.85,882.6,66.19330938482264,589.6500000000001,72.54135508724222,640.2499999999999,-8.199999999999932,-0.9205208801077607,632.05,70.95307588684328,66.19330938482264,38.10619667714415
2000,1592.2,1263.55,1818.15,1108.2,-20.641251099108157,-328.6500000000001,64.06334596643205,709.95,-484.0,-30.398191182012308,225.95000000000005,14.191056399949758,-20.641251099108157,-5.0810199723652865
2001,1254.3,1059.05,1422.95,849.95,-15.566451407159374,-195.25,67.41573033707866,573.0,-404.3499999999999,-32.23710436099816,168.6500000000001,13.445746631587346,-15.566451407159374,-11.671848839990423
2002,1055.3,1093.5,1205.95,920.1,3.619823746801862,38.200000000000045,31.06727529616346,285.85,-135.19999999999993,-12.811522789728032,150.6500000000001,14.275561451719899,3.619823746801862,0.2368994598692315
2003,1100.15,1879.75,1914.4,920.0,70.86306412761894,779.5999999999999,108.08695652173914,994.4000000000001,-180.1500000000001,-16.375039767304468,814.25,74.0126346407308,70.86306412761894,3.481343453165473
2004,1912.25,2080.5,2088.45,1292.2,8.798535756308015,168.25,61.61971830985914,796.2499999999998,-620.05,-32.42515361485161,176.19999999999982,9.214276375996853,8.798535756308015,-20.154268531834234
2005,2115.0,2836.55,2857.0,1894.4,34.115839243498826,721.5500000000002,50.81292229729729,962.5999999999999,-220.5999999999999,-10.43026004728132,742.0,35.08274231678487,34.115839243498826,4.992907801418435
2006,2835.95,3966.4,4046.85,2595.65,39.861422098415005,1130.4500000000003,55.908924546837966,1451.1999999999998,-240.29999999999973,-8.473351081648115,1210.9,42.698214002362526,39.861422098415005,10.673671961776488
2007,4007.4,6138.6,6185.4,3554.5,53.181614014073965,2131.2000000000003,74.01603601069067,2630.8999999999996,-452.9000000000001,-11.301592054698808,2177.9999999999995,54.34945351100463,53.181614014073965,8.78125467884414
2008,6144.35,2959.15,6357.1,2252.75,-51.8394948204448,-3185.2000000000003,182.19287537454224,4104.35,-3891.6000000000004,-63.336235728758936,212.75,3.4625306175592208,-51.8394948204448,-34.2395859610862
2009,3046.75,5201.05,5221.85,2539.45,70.70813161565603,2154.3,105.62917167103116,2682.4000000000005,-507.3000000000002,-16.65052925248216,2175.1000000000004,71.39082629030936,70.70813161565603,36.72601952900631
2010,5232.2,6134.5,6335.9,4675.4,17.245135889300872,902.3000000000002,35.51567780296873,1660.5,-556.8000000000002,-10.641795038415966,1103.6999999999998,21.09437712625664,17.245135889300872,1.0865410343641368
